"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","","A","СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО","В данную секцию входит использование растительных и животных природных ресурсов, включая выращивание зерновых, содержание и разведение животных, получение древесины и других растений, животных или продуктов животного происхождения на ферме или в естественной среде обитания.","","","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"3","68.3","","682","Операции с недвижимым имуществом за вознаграждение или на договорной основе","","","","","",""
"4","68.31","","6820","Деятельность агентств по операциям с недвижимым имуществом","Этот класс включает проведение операций с недвижимостью агентствами по недвижимости:
- посредничество в покупке, продаже или аренде недвижимости на основании фиксированных выплат или контрактной основе
- консультационные услуги или услуги по оцениванию недвижимости в связи с операциями по покупке, продаже или аренде недвижимости на основании фиксированных выплат или контрактной основе
- услуги агентов условного депонирования","","Этот класс исключает:
- юридические услуги, см. 69.10","This class includes the provision of real estate activities by real estate agencies:
- intermediation in buying, selling and rental of real estate on a fee or contract basis
- advisory activities and appraisal services in connection to buying, selling and rental of real estate, on a fee or contract basis
- real estate escrow agents activities","","This class excludes:
- legal activities, see 69.10"
"4","68.32","","6820","Управление недвижимостью за вознаграждение или на договорной основе","","Этот класс также включает:
- агентства, собирающие арендную плату","Этот класс исключает:
- юридические услуги, см. 69.10
- услуги по поддержке состояния здания (сочетание работ по общей внутренней уборке помещений, обслуживанию зданий и производству незначительного ремонта, вывозу мусора, обеспечению охраны и безопасности объектов), см. класс 81.10
- управление зданиями, такими как военные базы, тюрьмы и другими зданиями (за исключением управления помещениями электронно-вычислительных центров), см. 81.10","","This class also includes:
- rent-collecting agencies","This class excludes:
- legal activities, see 69.10
- facilities support services (combination of services such as general interior cleaning, maintenance and making minor repairs, trash disposal, guard and security), see 81.10
- management of facilities, such as military bases, prisons and other facilities (except computer facilities management), see 81.10"
"1","M","","M","ПРОФЕССИОНАЛЬНАЯ, НАУЧНАЯ И ТЕХНИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ","Данная секция включает специализированные профессиональные, научные и технические услуги. Данный вид услуг требует высокого уровня подготовки и делает доступными для пользователей специальные знания и навыки.","","","This section includes specialised professional, scientific and technical activities. These activities require a high degree of training, and make specialised knowledge and skills available to users.","",""
"2","69","","69","Деятельность в области права и бухгалтерского учета","Данный раздел включает юридическое представление и защиту интересов одной стороны, выступающей против другой стороны в судах и других судебных органах, лицами, являющимися членами коллегии адвокатов или под их наблюдением: оказание консультационных услуг и представительство в гражданских, уголовных делах, трудовых спорах.","Также включает подготовку юридических документов: свидетельств о регистрации компании, уставов и других документов, связанных с образованием компаний, регистрацией патентов и авторских прав; подготовку различных юридических документов, завещаний, доверенностей и т.д.; услуги государственных и гражданских нотариусов, судебных исполнителей, третейских судей, инспекторов и судей.

Данный раздел также включает услуги по ведению бухгалтерских книг, бухгалтерского учета и аудита, подготовки налоговых деклараций.","","This division includes legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar, such as advice and representation in civil cases, advice and representation in criminal actions, advice and representation in connection with labour disputes.","It also includes preparation of legal documents such as articles of incorporation, partnership agreements or similar documents in connection with company formation, patents and copyrights, preparation of deeds, wills, trusts, etc. as well as other activities of notaries public, civil law notaries, bailiffs, arbitrators, examiners and referees.

It also includes accounting and bookkeeping services such as auditing of accounting records, preparing financial statements and bookkeeping.",""
"3","69.1","","691","Юридические услуги","","","","","",""
"4","69.10","","6910","Юридические услуги","Этот класс включает:
- юридическое представление интересов одной стороны, выступающей против другой стороны в судах или  других судебных органах, как лично членами коллегии адвокатов, так и под  их руководством:
  • консультационные услуги и представительство в гражданских делах
  • консультационные услуги и представительство в уголовных делах
  • консультационные услуги и представительство в трудовых спорах
- общие консультации и подготовку юридических документов:
  • свидетельств о регистрации компании, уставов компаний и других документов, связанных с образованием компаний
  • патентов и авторских прав
  • подготовку различных юридических документов, завещаний, доверенностей и т.д.
- другие нотариальные услуги государственных и гражданских нотариусов, судебных исполнителей, третейских судей, инспекторов и судей","","Этот класс исключает:
- судебную деятельность, см. 84.23","This class includes:
- legal representation of one party's interest against another party, whether or not before courts or other judicial bodies by, or under supervision of, persons who are members of the bar:
  • advice and representation in civil cases
  • advice and representation in criminal cases
  • advice and representation in connection with labour disputes
- general counselling and advising, preparation of legal documents:
  • articles of incorporation, partnership agreements or similar documents in connection with company formation
  • patents and copyrights
  • preparation of deeds, wills, trusts etc.
- other activities of notaries public, civil law notaries, bailiffs, arbitrators, examiners and referees","","This class excludes:
- law court activities, see 84.23"
"3","69.2","","692","Деятельность в области бухгалтерского учета и аудита; консультации по налогообложению","","","","","",""
"4","69.20","","6920","Деятельность в области бухгалтерского учета и аудита; консультации по налогообложению","Этот класс включает:
- учет коммерческих операций компаний и других лиц
- подготовку или аудит финансовых счетов
- проверку счетов и подтверждение их точности
- составление налоговых деклараций для частных лиц или предприятий
- консультационные услуги и услуги по представительству клиентов в налоговых органах","","Этот класс исключает:
- работы по обработке данных и сведению данных в таблицы, см. 63.11
- консультирование по вопросам управления в отношении бухгалтерских систем и процедур контроля бюджета, см. 70.22
- сбор счетов, см. 82.91","This class includes:
- recording of commercial transactions from businesses or others
- preparation or auditing of financial accounts
- examination of accounts and certification of their accuracy
- preparation of personal and business income tax returns
- advisory activities and representation on behalf of clients before tax authorities","","This class excludes:
- data-processing and tabulation activities, see 63.11
- management consultancy on accounting systems, budgetary control procedures, see 70.22
- bill collection, see 82.91"
"2","70","","70","Деятельность головных компаний; консультации по вопросам управления","Данный раздел включает консультационные услуги и помощь компаниям и другим организациям в вопросах управления, таким как стратегическое и организационное планирование; финансовое планирование и планирование бюджета; маркетинговые цели и политика; политика в отношении персонала, установленные порядки и планирование; планирование производства; обеспечение контроля.","Этот раздел также включает наблюдение и управление другими подразделениями той же самой компании или предприятия, то есть деятельность головных компаний.","","This division includes the provision of advice and assistance to businesses and other organisations on management issues, such as strategic and organisational planning; financial planning and budgeting; marketing objectives and policies; human resource policies, practices, and planning; production scheduling; and control planning.","It also includes the overseeing and managing of other units of the same company or enterprise, i.e. the activities of head offices.",""
"3","70.1","","701","Деятельность головных компаний","","","","","",""
"4","70.10","","7010","Деятельность головных компаний","Этот класс включает наблюдение и управление другими подразделениями компании или предприятия; осуществление стратегического и организационного планирования и принятия решений относительно роли компании или предприятия; установление операционного контроля и управление ежедневными операциями соответствующих подразделений.

Этот класс включает деятельность:
- головных офисов
- централизованных административных офисов
- корпоративных офисов
- районных и региональных офисов
- вспомогательных управляющих офисов","","Этот класс исключает:
- деятельность холдинговых компаний, не участвующих в управлении, см. 64.20","This class includes the overseeing and managing of other units of the company or enterprise; undertaking the strategic or organisational planning and decision making role of the company or enterprise; exercising operational control and managing the day-to-day operations of their related units.

This class includes activities of:
- head offices
- centralised administrative offices
- corporate offices
- district and regional offices
- subsidiary management offices","","This class excludes:
- activities of holding companies, not engaged in managing, see 64.20"
"3","70.2","","702","Деятельность по консультированию по вопросам управления","","","","","",""
"4","70.21","","7020","Деятельность по взаимоотношениям и связью с общественностью","Данный класс включает предоставление консультационных услуг, управленческую и операционную поддержку, включающую лоббирующую деятельность в поддержку компаний и других организаций по взаимодействию и связью с общественностью.","","Этот класс исключает:
- услуги рекламных агентств и представительство в средствах массовой информации, см. 73.1
- маркетинговые исследования и опросы общественного мнения, см. 73.20","This class includes the provision of advice, guidance and operational assistance, including lobbying activities, to businesses and other organisations on public relations and communication.","","This class excludes:
- advertising agencies and media representation services, see 73.1
- market research and public opinion polling, see 73.20"
"4","70.22","","7020","Консультирование по вопросам коммерческой деятельности и управления","Этот класс включает предоставление консультационных услуг, управленческую и организационную поддержку компаниям и другим организациям по вопросам управления, таким как корпоративное стратегическое и операционное планирование, определение направлений развития бизнеса, управление переменами, снижение себестоимости и другие финансовые вопросы; маркетинговые цели и политика; политика в отношении персонала, установленные правила и планирование; стратегия выплат компенсации и выхода персонала на пенсию,  планирование производства и контроля.

Данный класс может включать консультационные услуги, управленческую и организационную поддержку компаний и общественных организаций в отношении:
- проектирования методик бухучета и правил, программ ведения отчетности, процедур контроля бюджета
- консультационных услуг и поддержки компаний и общественных организаций в области планирования, организационных мер, обеспечения эффективности и контроля, информации по вопросам управления и т.д.","","Этот класс исключает:
- разработку компьютерных приложений и программ для бухгалтерских систем, см. 62.01
- юридические услуги и представительство, см. 69.10
- бухгалтерский учет, банковские операции и аудиторские услуги, консультации в отношении налогообложения, см. 69.20
- консультационные услуги в отношении архитектуры и инженерии, см. 71.11, 71.12
- консультационные услуги в отношении окружающей среды, агрономии, безопасности и подобные консультационные услуги, см. 74.90
- консультационные услуги по заполнению вакансий и поиску персонала, см. 78.10
- консультационные услуги в области образования, см. 85.60","This class includes the provision of advice, guidance and operational assistance to businesses and other organisations on management issues, such as corporate strategic and organisational planning, business process reengineering, change management, cost reduction and other financial issues; marketing objectives and policies; human resource policies, practices and planning; compensation and retirement strategies; production scheduling and control planning.

This provision of business services may include advice, guidance or operational assistance to businesses and the public service regarding:
- design of accounting methods or procedures, cost accounting programmes, budgetary control procedures
- advice and help to businesses and public services in planning, organisation, efficiency and control, management information etc.","","This class excludes:
- design of computer software for accounting systems, see 62.01
- legal advice and representation, see 69.10
- accounting, bookkeeping and auditing activities, tax consulting, see 69.20
- architectural and engineering advisory activities, see 71.11, 71.12
- environmental, agronomy, security and similar consulting activities, see 74.90
- executive placement or search consulting activities, see 78.10
- educational consulting activities, see 85.60"
"2","71","","71","Деятельность в области архитектуры, инженерных изысканий, технических испытаний и анализа","Данный раздел включает предоставление архитектурных, инженерных услуг, услуг по планированию, осмотру зданий, геодезии и составлению карт.","Этот раздел также включает услуги по химическому, физическому и другому измерению для проведения анализа.","","This division includes the provision of architectural services, engineering services, drafting services, building inspection services and surveying and mapping services.","It also includes the performance of physical, chemical, and other analytical testing services.",""
"3","71.1","","711","Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях","Данная группа включает предоставление архитектурных, инженерных услуг, услуг по осуществлению планирования,  осмотру здания, геодезии и составлению карт и подобное.","","","This group includes the provision of architectural services, engineering services, drafting services, building inspection services and surveying and mapping services and the like.","",""
"4","71.11","","7110","Деятельность в области архитектуры","Этот класс включает:
- консультативные услуги в области архитектуры:
  • проектирование зданий, включая составление рабочих чертежей
  • городское планирование, включая ландшафтную архитектуру","","Этот класс исключает:
- предоставление консультативных услуг по компьютерным технологиям, см. 62.02, 62.09
- оформление интерьера, см. 74.10","This class includes:
- architectural consulting activities:
  • building design and drafting
  • town and city planning and landscape architecture","","This class excludes:
- activities of computer consultants, see 62.02, 62.09
- interior decorating, see 74.10"
"4","71.12","Construction (Supervision of…)

Problem statement: Where in NACE Rev. 2 are ""Ingenieurbüros für bautechnische Gesamtplanung"" (engineering consultants for constructional overall planning)? In CPA 2002 there are sub-categories 74.20.40 (""integrated engineering services for turnkey projects"") and 74.20.60 (""project management services related to construction and civil engineering works"").

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. The activity is in NACE Rev. 2 class 71.12. For terminology, see CPA 2002.

Decision date: 15.11.2006

Project management

Problem statement: [From US] (39/40) The definitions exclude project management. What is the definition of project management? If a general contractor subcontracts out each of the steps in the project to different subs - their role, beyond oversight and responsibility for the entire project, is essentially project management. Can a better term be found to describe what I think is the intent of this exclusion - to be in the engineering area, it might need to have arrangement of financing, site selection, etc. beyond those things that are just related to the construction.

Solution: Conclusion of the NACE/CPA Task Force 13-15 November 2006. “Project management activities related to construction” is classified in ISIC Rev.4 class 7110 and accordingly in NACE Rev. 2 class 71.12.

Decision date: 15.11.2006","7110","Деятельность в области инженерных изысканий и предоставление технических консультаций в этой области","Этот класс включает:
- инженерный дизайн (то есть применение физических законов и принципов инженерии в конструировании машин, материалов, инструментов, структур, процессов и систем) и консультационные услуги в области:
  • проектирования машиностроения, промышленного строительства
  • проектов, включающих гражданское строительство, гидротехнические сооружения и транспортное строительство
  • проектов управления водными ресурсами
  • проектов по электронике и электротехнике, горнодобывающей инженерии, химической технологии, машиностроению, организации производства, системотехники, техники безопасности
- разработку проектов систем кондиционирования, охлаждения, инженерных разработок в отношении контроля санитарного состояния и загрязнения окружающей среды, борьбы с шумом и т.д.
- геофизические, геологические и сейсмические исследования
- работы по геодезическому изучению:
  • измерения земельных участков и их границ
  • гидрологические изыскательские работы
  • работы по изучению подземных слоев
  • картографическая деятельность и деятельность в области пространственной информации","","Этот класс исключает:
- тестовые буровые работы, касающиеся дальнейших горнодобывающих работ, см. 09.10, 09.90
- разработку или издание комплексного программного обеспечения, см. 58.29, 62.01
- предоставление консультативных услуг по компьютерным технологиям, см. 62.02, 62.09
- технические испытания, см. 71.20
- инженерные научно-исследовательские работы и инженерное развитие, см. 72.19
- промышленный дизайн, см. 74.10
- аэрофотосъемку, см. 74.20","This class includes:
- engineering design (i.e. applying physical laws and principles of engineering in the design of machines, materials, instruments, structures, processes and systems) and consulting activities for:
  • machinery, industrial processes and industrial plant
  • projects involving civil engineering, hydraulic engineering, traffic engineering
  • water management projects
  • projects elaboration and realisation relative to electrical and electronic engineering, mining engineering, chemical engineering, mechanical, industrial and systems engineering, safety engineering
- elaboration of projects using air conditioning, refrigeration, sanitary and pollution control engineering, acoustical engineering etc.
- geophysical, geologic and seismic surveying
- geodetic surveying activities:
  • land and boundary surveying activities
  • hydrologic surveying activities
  • subsurface surveying activities
  • cartographic and spatial information activities","","This class excludes:
- test drilling in connection with mining operations, see 09.10, 09.90
- development or publishing of associated software, see 58.29, 62.01
- activities of computer consultants, see 62.02, 62.09
- technical testing, see 71.20
- research and development activities related to engineering, see 72.19
- industrial design, see 74.10
- aerial photography, see 74.20"
"3","71.2","","712","Технические испытания и анализы","","","","","",""
"4","71.20","Certification services

Problem statement: Where are the following services, rendered by a unit, classified?
- Services of certifying units which consist in caring out inspections, documentation analysis (which prove conformity with current standards) – concerning quality system standards and staff.
- Services of certifying units which consist in comparing of materials used in production with documentation, in comparing of used materials with certificate etc. in order to give the quality certificate.
- Services of certifying units which consist in caring out inspections, giving or withdrawing certificates in field of ecological agriculture production, collection of wild plants or parts of them.

Solution: Even though it is recognised that there exists a great variety of certification activities, NACE Rev. 2 class 71.20 (technical testing and analysis) covers all aspects of this wide range of certification related activities. Ultimately the certification process is the same, no matter what is being certified. For that reason the certification activities referred to are and should stay classified to NACE Rev. 2 class 71.20 (technical testing and analysis), where they have always been classified. In terms of CPA 2008 the corresponding service is classified to subcategory 71.20.19 (other technical testing and analysis services).

Decision date: 18.04.2008","7120","Технические испытания и анализы","Данный класс включает проведение физических, химических, других поддающихся анализу испытаний всех видов материалов и продуктов, включая:
  • акустические и вибрационные испытания
  • испытания состава минералов и содержание в них примесей и т.д.
  • испытания в области гигиены питания, включая ветеринарный контроль и контроль за производством пищевых продуктов
  •испытания физических и эксплуатационных характеристик материалов, таких как сила, толщина, износоустойчивость, радиоактивность и т.д.
  • испытания свойств и надежности материалов
  • испытания эксплуатационных характеристик смонтированных механизмов: двигателей, автомобилей, электронного оборудования и т.д.
  • радиографическое тестирование сварных швов и стыков
  • анализ разрушений
  • исследования и измерения параметров окружающей среды: загрязнения воздуха и водных ресурсов и т.д.
- сертификацию продуктов, включая товары народного потребления,  машинные двигатели, воздушно-транспортную технику, контейнеры под давлением, атомные электростанции и т.д.
- периодические испытания автотранспортной техники на предмет дорожной безопасности
- испытания с применением моделей и макетов (например: воздушно-транспортной техники, наводной техники, плотин и т.д.)
- управление деятельностью полицейских лабораторий","","Этот класс исключает:
- тестирование образцов проб взятых у животных, см. 75.00
- зрительную диагностику, испытание и анализ медицинских и стоматологических проб, см. 86","This class includes the performance of physical, chemical and other analytical testing of all types of materials and products, such as:
  • acoustics and vibration testing
  • testing of composition and purity of minerals etc.
  • testing activities in the field of food hygiene, including veterinary testing and control in relation to food production
  • testing of physical characteristics and performance of materials, such as strength, thickness, durability, radioactivity etc.
  • qualification and reliability testing
  • performance testing of complete machinery: motors, automobiles, electronic equipment etc.
  • radiographic testing of welds and joints
  • failure analysis
  • testing and measuring of environmental indicators: air and water pollution etc.
- certification of products, including consumer goods, motor vehicles, aircraft, pressurised containers, nuclear plants etc.
- periodic road-safety testing of motor vehicles
- testing with use of models or mock-ups (e.g. of aircraft, ships, dams etc.)
- operation of police laboratories","","This class excludes:
- testing of animal specimens, see 75.00
- diagnostic imaging, testing and analysis of medical and dental specimens, see 86"
"2","72","","72","Научные исследования и разработки","Данный раздел включает три вида исследований и разработок: 1) фундаментальные исследования: экспериментальные или теоретические работы, предпринимаемые, прежде всего, с целью приобретения новых знаний относительно принципов, лежащих в основе явлений и фактов, не имея в виду конкретного применения или использования данной информации, 2) прикладные исследования: первоначальное исследование, предпринимаемые с целью приобретения новых знаний, направленных на достижение конкретной практической цели, и 3) экспериментальные разработки: систематические работы, планирование, основанные на существующих знаниях, приобретенных в результате исследований и практического опыта, направленные на производство новых материалов, продуктов и устройств, внедрение новых процессов, систем и услуг и на улучшение уже произведенных или установленных.

Исследования и опытно-конструкторские работы в данном разделе подразделены на две категории:  естественные науки и инженерия; социальные и гуманитарные науки.","","Данный раздел исключает:
- исследования рынка, см. 73.20","This division includes the activities of three types of research and development: 1) basic research: experimental or theoretical work undertaken primarily to acquire new knowledge of the underlying foundations of phenomena and observable facts, without particular application or use in view, 2) applied research: original investigation undertaken in order to acquire new knowledge, directed primarily towards a specific practical aim or objective and 3) experimental development: systematic work, drawing on existing knowledge gained from research and/or practical experience, directed to producing new materials, products and devices, to installing new processes, systems and services, and to improving substantially those already produced or installed.

Research and experimental development activities in this division are subdivided into two categories: natural sciences and engineering; social sciences and the humanities.","","This division excludes:
- market research, see 73.20"
"3","72.1","","721","Научные исследования и экспериментальные разработки в области естественных наук и инженерии","Данная группа объединяет понятия базового исследования, практического исследования, опытно-конструкторских работ в области естественных наук и инженерии.","","","This group comprises basic research, applied research, experimental development in natural sciences and engineering.","",""
"4","72.11","","7210","Научные исследования и экспериментальные разработки в области биотехнологий","Этот подкласс включает исследования и опытно-конструкторские работы в биотехнологиях:
- ДНК/РНК: гены, медицинская генная инженерия, пробы генов, генная инженерия, программирование, синтез, гиперболизация ДНК и РНК, составление профиля выражения генов, использование технологии противоощущения
- белки и другие молекулы: программирование, синтез, инженерия протеинов и пептидов (включая гормоны больших молекул); усовершенствованные методы питания для больших молекулярных медикаментов; протеомика, изоляция и очищение протеинов, передача сигналов, идентификация клеточных органов чувств
- выращивание и инженерия клеток и тканей: выращивание клеток и тканей, инженерия тканей (включая, вспомогательные средства для выращивания и обработки тканей и биомедицинскую инженерию), клеточные сращивания, вакцинные и иммунные стимуляторы, манипуляции с эмбрионом
- техника процессной биотехнологии: использование биореакторов в брожении, биообработка, биовыщелачивание, превращение материалов в волокнистую массу, отбеливание с помощью древоразрушающих грибов, биоудаление серы, биоисправление, биофильтрация и фитоисправление
- управление генами и РНК: генная терапия, управление вирусами
- биоинформатика: создание баз данных о генах, последовательностях протеинов, моделирующих комплексах биологических процессах, включая системную биологию
- нанобиотехнология: применяет инструменты и процессы нано и микрофабрикации для создания приспособлений по изучению биосистем и приложений в применении медицинских препаратов,  диагностике и т.д.","","","This class includes research and experimental development on biotechnology:
- DNA/RNA: genomics, pharmacogenomics, gene probes, genetic engineering, DNA/RNA sequencing/synthesis/amplification, gene expression profiling, and use of antisense technology
- proteins and other molecules: sequencing/synthesis/engineering of proteins and peptides (including large molecule hormones); improved delivery methods for large molecule drugs; proteomics, protein isolation and purification, signalling, identification of cell receptors
- cell and tissue culture and engineering: cell/tissue culture, tissue engineering (including tissue scaffolds and biomedical engineering), cellular fusion, vaccine/immune stimulants, embryo manipulation
- process biotechnology techniques: fermentation using bioreactors, bioprocessing, bioleaching, biopulping, biobleaching, biodesulphurisation, bioremediation, biofiltration and phytoremediation
- gene and RNA vectors: gene therapy, viral vectors
- bioinformatics: construction of databases on genomes, protein sequences; modelling complex biological processes, including systems biology
- nanobiotechnology: applies the tools and processes of nano/microfabrication to build devices for studying biosystems and applications in drug delivery, diagnostics etc.","",""
"4","72.19","","7210","Прочие исследования и разработки в области естественных наук и инженерии","Этот класс включает:
- исследования и экспериментальные разработки в области естественных наук и инженерии, кроме биотехнологического исследования и экспериментального развития:
  • научные исследования и экспериментальные разработки в области естественных наук
  • научные исследования и экспериментальные разработки в области инженерии и технологий
  • научные исследования и экспериментальные разработки в области медицинских наук
  • научные исследования и экспериментальные разработки в области сельского хозяйства
  • междисциплинарные исследования и разработки, в основном в области естественных наук и инженерии","","","This class includes:
- research and experimental development on natural science and engineering other than biotechnological research and experimental development:
  • research and development on natural sciences
  • research and development on engineering and technology
  • research and development on medical sciences
  • research and development on agricultural sciences
  • interdisciplinary research and development, predominantly on natural sciences and engineering","",""
"3","72.2","","722","Исследования и экспериментальные разработки в области общественных и гуманитарных наук","","","","","",""
"4","72.20","","7220","Исследования и экспериментальные разработки в области общественных и гуманитарных наук","Этот класс включает:
- исследования и разработки в области социальных наук
- исследования и разработки в области гуманитарных наук
- междисциплинарные исследования и разработки, в основном в области социальных и гуманитарных наук","","Этот класс исключает:
- исследования рынка, см. 73.20","This class includes:
- research and development on social sciences
- research and development on humanities
- interdisciplinary research and development, predominantly on social sciences and humanities","","This class excludes:
- market research, see 73.20"
"2","73","","73","Рекламная деятельность и изучение рыночной конъюнктуры","Данный раздел включает создание рекламных компаний и размещение рекламы в изданиях периодической печати, газетах, на радио и телевидении или в других средствах массовой информации, а также создание демонстрационных поверхностей и сайтов.","","","This division includes the creation of advertising campaigns and placement of such advertising in periodicals, newspapers, radio and television, or other media as well as the design of display structures and sites.","",""
