"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ROLNICTWO, LEŚNICTWO I RYBACTWO","Sekcja ta obejmuje działalności związane z:
-   eksploatacją naturalnych zasobów roślinnych i zwierzęcych,
-   uprawą zbóż i innych roślin uprawnych,
-   chowem i hodowlą zwierząt,
-   pozyskiwaniem drewna i surowców leśnych,
-   pozyskiwaniem zwierząt lub produktów zwierzęcych z gospodarstw rolnych lub ich naturalnego środowiska.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"3","88.9","Pozostała pomoc społeczna bez zakwaterowania","","","","","889","","",""
"4","88.91","Opieka dzienna nad dziećmi","","Klasa ta obejmuje także:
-    działalność żłobków,
-    pozostałą opiekę dzienną nad dziećmi, włączając dzieci niepełnosprawne.","","","8890","","This class also includes:
- activities of day nurseries for pupils, including day-care activities for disabled children",""
"4","88.99","Postała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana","Klasa ta obejmuje działalność poradni, schronisk, pomoc specjalną i pozostałą pomoc społeczną bez zakwaterowania świadczoną osobom i rodzinom w ich domach lub poza nimi, realizowaną przez instytucje administracji publicznej, organizacje niosące pomoc ofiarom katastrof, organizacje o zasięgu ogólnopolskim lub lokalnym oraz przez specjalistów udzielających porad, m.in. poprzez:
-    pomoc społeczną i poradnictwo dla dzieci i młodzieży,
-    działalność związaną z adopcją,
-    działalność prewencyjną przeciwko przemocy wobec dzieci oraz inną działalność tego rodzaju,
-    konsultacje i doradztwo związane z planowaniem budżetów domowych, działalność poradni małżeńskich i rodzinnych, poradnictwo w zakresie zaciągania kredytów i spłacania długów,
-    działalność społeczną lokalną i sąsiedzką,
-    działalność polegającą na niesieniu pomocy ofiarom klęsk żywiołowych, katastrof, uchodźcom, imigrantom itp., włączając działalność tymczasowych i długotrwałych schronisk dla tych osób,
-    działalność związaną z przystosowaniem zawodowym osób bezrobotnych, w działalności tego typu czynnik edukacyjny powinien występować w ograniczonym zakresie,
-    działalność polegającą na określeniu, czy ubiegający się o wsparcie spełniają warunki potrzebne do przyznania pomocy finansowej lub rzeczowej,
-    placówki dzienne dla osób bezdomnych oraz innych osób potrzebujących pomocy,
-    działalność charytatywną polegającą na gromadzeniu funduszy lub inne formy wspierania finansowego w ramach pomocy społecznej.","","Klasa ta nie obejmuje:
-    działalności w zakresie obowiązkowych ubezpieczeń społecznych, sklasyfikowanej w 84.30,
-     działalności pomocy społecznej z zakwaterowaniem, sklasyfikowanej w 87.90.","","8890","This class includes:
- social, counselling, welfare, refugee, referral and similar services which are delivered to individuals and families in their homes or elsewhere and carried out by government offices or by private organisations, disaster relief organisations and national or local self-help organisations and by specialists providing counselling services:
  • welfare and guidance activities for children and adolescents
  • adoption activities, activities for the prevention of cruelty to children and others
  • household budget counselling, marriage and family guidance, credit and debt counselling services
  • community and neighbourhood activities
  • activities for disaster victims, refugees, immigrants etc., including temporary or extended shelter for them
  • vocational rehabilitation and habilitation activities for unemployed persons provided that the education component is limited
  • eligibility determination in connection with welfare aid, rent supplements or food stamps
  • day facilities for the homeless and other socially weak groups
  • charitable activities like fund-raising or other supporting activities aimed at social work","","This class excludes:
- funding and administration of compulsory social security programmes, see 84.30
- activities similar to those described in this class, but including accommodation, see 87.90"
"1","R","DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, ROZRYWKĄ I REKREACJĄ","Sekcja ta obejmuje szeroki zakres działalności kulturalnych, rozrywkowych i rekreacyjnych związanych z różnymi zainteresowaniami ogółu społeczeństwa, włączając występy na żywo, działalność muzeów, gry hazardowe, działalności związane ze sportem i rekreacją.","","","","R","This section includes a wide range of activities to meet varied cultural, entertainment and recreational interests of the general public, including live performances, operation of museum sites, gambling, sports and recreation activities.","",""
"2","90","Działalność twórcza związana z kulturą i rozrywką","Dział ten obejmuje:
-    funkcjonowanie obiektów i świadczenie usług związanych z zainteresowaniami kulturalnymi i rozrywkowymi klientów,
-    produkcję, promocję i udział w występach na żywo, wydarzeniach lub wystawach przeznaczonych dla powszechnych odbiorców, zapewnienie odpowiedniego poziomu artystycznego, twórczego i umiejętności technicznych niezbędnych przy produkcji artystycznej i występach na żywo.","","Dział ten nie obejmuje:
-    działalności muzeów wszelkiego rodzaju, działalności ogrodów botanicznych i zoologicznych, ochrony miejsc historycznych i działalności rezerwatów przyrody, sklasyfikowanej w odpowiednich klasach działu 91,
-    działalności w zakresie gier losowych i zakładów wzajemnych, sklasyfikowanej w odpowiednich klasach działu 92,
-    działalności związanej ze sportem, rozrywką i rekreacją, sklasyfikowanej w odpowiednich klasach działu 93.
Jednostki, które świadczą usługi kulturalne, rozrywkowe i rekreacyjne sklasyfikowane są w następujących grupowaniach:
-    produkcja i dystrybucja filmów i nagrań wideo, sklasyfikowana w 59.11, 59.12, 59.13,
-    projekcja filmów, sklasyfikowana w 59.14,
-    nadawanie programów radiowych i telewizyjnych, sklasyfikowane w odpowiednich klasach grup 60.1, 60.2.","","90","This division includes the operation of facilities and provision of services to meet the cultural and entertainment interests of their customers. This includes the production and promotion of, and participation in, live performances, events or exhibits intended for public viewing; the provision of artistic, creative or technical skills for the production of artistic products and live performances.","","This division excludes:
- the operation of museums of all kinds, botanical and zoological gardens; the preservation of historical sites; and nature reserves activities, see division 91
- gambling and betting activities, see division 92
- sports and amusement and recreation activities, see division 93.

Some units that provide cultural, entertainment or recreational facilities and services are classified in other divisions, such as:
- motion picture and video production and distribution, see 59.11, 59.12, 59.13
- motion picture projection, see 59.14
- radio and television broadcasting, see 60.1, 60.2"
"3","90.0","Działalność twórcza związana z kulturą i rozrywką","Grupa ta obejmuje działalność w zakresie twórczości związanej z kulturą , rozrywką i działaniami powiązanymi.","","","","900","This group includes activities in the creative and performing arts and related activities.","",""
"4","90.01","Działalność związana z wystawianiem przedstawień artystycznych","Klasa ta obejmuje wystawianie przedstawień teatralnych, operowych, baletowych, musicalowych i innych:
-    działalność grup cyrkowych, orkiestr i zespołów muzycznych,
-    działalność indywidualnych artystów takich jak: aktorzy, tancerze, piosenkarze, lektorzy lub prezenterzy.","","Klasa ta nie obejmuje:
-    działalności agentów i agencji artystycznych, występujących w imieniu indywidualnych artystów, sklasyfikowanej w 74.90,
-    działalności agencji odpowiedzialnych za casting, sklasyfikowanej w 78.10.","Stuntmen activities

Problem statement: Where are stuntmen activities classified?

Solution: 1) Activities of own account stuntmen are in NACE Rev 2 class 90.01 where activities of individual artists like actors are included.
2) Stuntmen employed by producing film companies are in NACE Rev. 2 class 59.11.

Decision date: 01.07.2007","9000","This class includes:
- production of live theatrical presentations, concerts and opera or dance productions and other stage productions:
  • activities of groups, circuses or companies, orchestras or bands
  • activities of individual artists such as actors, dancers, musicians, lecturers or speakers","","This class excludes:
- activities of personal theatrical or artistic agents or agencies, see 74.90
- casting activities, see 78.10"
"4","90.02","Działalność wspomagająca wystawianie przedstawień artystycznych","Klasa ta obejmuje:
-    działalność wspomagającą wystawianie przedstawień teatralnych, operowych, baletowych, musicalowych i innych:
   • działalność reżyserów, producentów, scenografów, projektantów i wykonawców teatralnych dekoracji scenicznych, maszynistów sceny, specjalistów od oświetlenia sceny, konferansjerów itd.","Klasa ta obejmuje także :
-    działalność producentów przedstawień artystycznych, w obiektach lub poza nimi.","Klasa ta nie obejmuje:
-    działalności agentów i agencji artystycznych, występujących w imieniu indywidualnych artystów, sklasyfikowanej w 74.90,
-    działalności agencji odpowiedzialnych za casting, sklasyfikowanej w 78.10.","","9000","This class includes:
- support activities to performing arts for production of live theatrical presentations, concerts and opera or dance productions and other stage productions:
  • activities of directors, producers, stage-set designers and builders, scene shifters, lighting engineers etc.","This class also includes:
- activities of producers or entrepreneurs of arts live events, with or without facilities","This class excludes:
- activities of personal theatrical or artistic agents or agencies, see 74.90
- casting activities, see 78.10"
"4","90.03","Artystyczna i literacka działalność twórcza","Klasa ta obejmuje:
-    działalność indywidualnych artystów takich jak: rzeźbiarze, malarze, rysownicy, grawerzy, artyści uprawiający kwasoryt itp.,
-    działalność indywidualnych pisarzy wszystkich dziedzin, włączając fikcję literacką, literaturę popularno-   naukową itp.,
-    działalność niezależnych dziennikarzy,
-    renowację prac artystycznych, takich jak obrazy itp.","","Klasa ta nie obejmuje:
-    wykonywania posągów innych niż artystyczne, sklasyfikowanej w 23.70,
-    renowacji organów i pozostałych zabytkowych instrumentów muzycznych, sklasyfikowanej w 33.19,
-    produkcji filmów kinowych i nagrań wideo, sklasyfikowanej w 59.11, 59.12,
-    renowacji mebli (z wyłączeniem wykonywanego przez muzea), sklasyfikowanego w 95.24.","","9000","This class includes:
- activities of individual artists such as sculptors, painters, cartoonists, engravers, etchers etc.
- activities of individual writers, for all subjects including fictional writing, technical writing etc.
- activities of independent journalists
- restoring of works of art such as paintings etc.","","This class excludes:
- manufacture of statues, other than artistic originals, see 23.70
- restoring of organs and other historical musical instruments, see 33.19
- motion picture and video production, see 59.11, 59.12
- restoring of furniture (except museum type restoration), see 95.24"
"4","90.04","Działalność obiektów kulturalnych","Klasa ta obejmuje:
-    działalność teatrów i sal koncertowych, galerii i salonów wystawienniczych, domów i ośrodków kultury, świetlic  oraz pozostałych obiektów kulturalnych.","","Klasa ta nie obejmuje:
-    działalności kin, sklasyfikowanej w 59.14,
-    działalności agencji biletowych, sklasyfikowanej w 79.90,
-    działalności muzeów, sklasyfikowanej w 91.02.","","9000","This class includes:
- operation of concert and theatre halls and other arts facilities","","This class excludes:
- operation of cinemas, see 59.14
- activities of ticket agencies, see 79.90
- operation of museums of all kinds, see 91.02"
"2","91","Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą","Dział ten obejmuje:
-    działalność bibliotek i archiwów,
-    działalność wszystkich rodzajów muzeów,
-    działalność ogrodów botanicznych i zoologicznych,
-    działalność związaną z ochroną miejsc historycznych,
-    działalność rezerwatów przyrody.","Dział ten obejmuje także utrzymywanie i ochronę obiektów wystawienniczych, miejsc i cudów natury o znaczeniu historycznym, kulturalnym lub edukacyjnym (np. miejsca na liście światowego dziedzictwa UNESCO itp.).","Dział ten nie obejmuje:
-    działalności związanej ze sportem, rozrywką i rekreacją, tj. działalności parków rekreacyjnych i plaż, sklasyfikowanej w odpowiednich klasach działu 93.","","91","This division includes the activities of libraries and archives; the operation of museums of all kinds, botanical and zoological gardens; the operation of historical sites and nature reserves activities.","It also includes the preservation and exhibition of objects, sites and natural wonders of historical, cultural or educational interest (e.g. world heritage sites, etc).","This division excludes:
- sports and amusement and recreation activities such as the operation of bathing beaches and recreation parks, see division 93"
"3","91.0","Działalność bibliotek, archiwów, muzeów oraz pozostała działalność związana z kulturą","","","","","910","","",""
"4","91.01","Działalność bibliotek i archiwów","Klasa ta obejmuje:
-    dokumentacyjną i informacyjną działalność bibliotek wszystkich rodzajów, czytelni, pomieszczeń do odsłuchiwania i oglądania oraz działalność archiwów publicznych w tym archiwów rządowych ,  świadczoną dla ogółu społeczeństwa lub specjalnych grup odbiorców, takich jak: studenci, naukowcy, nauczyciele, członkowie; w tym :
  •    gromadzenie zbiorów
  •    katalogowanie zbiorów,
  •    wypożyczanie i przechowywanie książek, map, periodyków, filmów, płyt, taśm, prac artystycznych itp.,
  •    wyszukiwanie informacji z posiadanych zbiorów itp.,
-    przechowywanie zdjęć i filmów przez biblioteki i usługi z tym związane.","","","","9101","This class includes:
- documentation and information activities of libraries of all kinds, reading, listening and viewing rooms, public archives providing service to the general public or to a special clientele, such as students, scientists, staff, members as well as operation of government archives:
  • organisation of a collection, whether specialised or not
  • cataloguing collections
  • lending and storage of books, maps, periodicals, films, records, tapes, works of art etc.
  • retrieval activities in order to comply with information requests etc.
- stock photo and movie libraries and services","",""
"4","91.02","Działalność muzeów","Klasa ta obejmuje działalność muzeów wszystkich rodzajów, takich jak:
-    muzea sztuki, biżuterii, mebli, strojów, ceramiki, srebra stołowego,
-    muzea historii naturalnej, nauki i techniki, historyczne, włączając muzea wojskowe i izby pamięci,
-    pozostałe muzea wyspecjalizowane,
-    muzea na wolnym powietrzu.","","Klasa ta nie obejmuje:
-    działalności handlowych galerii sztuki, sklasyfikowanej w 47.78,
-    renowacji dzieł sztuki i obiektów muzealnych, sklasyfikowanej w 90.03,
-    działalności archiwów i bibliotek, sklasyfikowanej w 91.01.","","9102","This class includes:
- operation of museums of all kinds:
  • art museums, museums of jewellery, furniture, costumes, ceramics, silverware
  • natural history, science and technological museums, historical museums, including military museums
  • other specialised museums
  • open-air museums","","This class excludes:
- activities of commercial art galleries, see 47.78
- restoration of works of art and museum collection objects, see 90.03
- activities of libraries and archives, see 91.01"
"4","91.03","Działalność historycznych miejsc i budynków oraz podobnych atrakcji turystycznych","Klasa ta obejmuje:
-    konserwację i ochronę miejsc i budynków zabytkowych i historycznych oraz zabytkowych obiektów ruchomych.","","Klasa ta nie obejmuje:
-    renowacji i restauracji miejsc i budynków historycznych, sklasyfikowanych w odpowiednich klasach Sekcji F.","","9102","This class includes:
- operation and preservation of historical sites and buildings","","This class excludes:
- renovation and restoration of historical sites and buildings, see section F"
"4","91.04","Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody","Klasa ta obejmuje:
-    działalność ogrodów botanicznych i zoologicznych, włączając ogrody zoologiczne dla dzieci,
-    działalność rezerwatów przyrody, włączając ochronę dzikiej przyrody itd.","","Klasa ta nie obejmuje:
-    działalności związanej z zagospodarowaniem terenów zieleni, sklasyfikowanej w 81.30.
- działalności związanej z utrzymaniem łowisk i terenów łowieckich sklasyfikowanych w 93.19.","","9103","This class includes:
- operation of botanical and zoological gardens, including children's zoos
- operation of nature reserves, including wildlife preservation, etc.","","This class excludes:
- landscape and gardening activities, see 81.30
- operation of sport fishing and hunting preserves, see 93.19"
"2","92","Działalność związana z grami losowymi i zakładami wzajemnymi","Dział ten obejmuje:
-    działalność obiektów, takich jak: kasyna, sale do gry w bingo, terminale do gier wideo,
-    usługi związane z grami losowymi, takimi jak: loterie i zakłady wyścigów konnych.","","","","92","This division includes the operation of gambling facilities such as casinos, bingo halls and video gaming terminals and the provision of gambling services, such as lotteries and off-track betting.","",""
"3","92.0","Działalność związana z grami losowymi i zakładami wzajemnymi","","","","","920","","",""
"4","92.00","Działalność związana z grami losowymi i zakładami wzajemnymi","Klasa ta obejmuje działalność w zakresie gier losowych i zakładów wzajemnych, taką jak:
-    sprzedaż losów na loterie,
-    eksploatacja automatów do gier hazardowych na monety,
-    obsługa stron internetowych z wirtualnymi grami losowymi,
-    działalność bukmacherska oraz pozostała działalność w zakresie zakładów wzajemnych,
-    zakłady wyścigów konnych,
-    działalność kasyn, włączając „pływające kasyna”.","","","","9200","This class includes gambling and betting activities such as:
- sale of lottery tickets
- operation (exploitation) of coin-operated gambling machines
- operation of virtual gambling web sites
- bookmaking and other betting operations
- off-track betting
- operation of casinos, including ""floating casinos”","",""
"2","93","Działalność sportowa, rozrywkowa i rekreacyjna","Dział ten obejmuje:
-    działalność w zakresie rekreacji, rozrywki i sportu, z wyłączeniem działalności muzeów, ochrony miejsc historycznych, działalności ogrodów botanicznych i zoologicznych oraz rezerwatów przyrody, działalności w zakresie gier losowych i zakładów wzajemnych.","","Dział ten nie obejmuje:
-    działalności związanej z wystawianiem sztuk dramatycznych, musicali oraz pozostałej działalności artystycznej, takiej jak: produkcja przedstawień teatralnych na żywo, koncertów, przedstawień operowych, baletowych i pozostałych produkcji scenicznych, sklasyfikowanej w odpowiednich klasach działu 90.","","93","This division includes the provision of recreational, amusement and sports activities (except museums activities, preservation of historical sites, botanical and zoological gardens and nature reserves activities; and gambling and betting activities).","","Excluded from this division are dramatic arts, music and other arts and entertainment such as the production of live theatrical presentations, concerts and opera or dance productions and other stage productions, see division 90."
"3","93.1","Działalność związana ze sportem","Działalność związana ze sportem

Grupa ta obejmuje:
-    prowadzenie obiektów sportowych,
-    działalność drużyn i klubów sportowych oraz niezależnych sportowców biorących udział głównie w imprezach sportowych na żywo przed publicznością,
-    działalność właścicieli samochodów wyścigowych, psów, koni itd. biorących udział w wyścigach, polegającą przede wszystkim na wystawianiu ich na wyścigach lub innych imprezach sportowych,
-    działalność trenerów sportowych świadczących specjalistyczne usługi dla uczestników imprez i zawodów sportowych,
-    działalność związaną z prowadzeniem hal sportowych i stadionów,
-    pozostałą działalność w zakresie organizowania, promowania i zarządzania imprezami sportowymi, gdzie indziej niesklasyfikowaną.","","","","931","This group includes the operation of sports facilities; activities of sports teams or clubs primarily participating in live sports events before a paying audience; independent athletes engaged in participating in live sporting or racing events before a paying audience; owners of racing participants such as cars, dogs, horses, etc. primarily engaged in entering them in racing events or other spectator sports events; sports trainers providing specialised services to support participants in sports events or competitions; operators of arenas and stadiums; other activities of organising, promoting or managing sports events, n.e.c.","",""
"4","93.11","Działalność obiektów sportowych","Klasa ta obejmuje:
-    działalność obiektów sportowych na otwartym powietrzu lub obiektów sportowych halowych (otwartych, zamkniętych lub zadaszonych, z miejscami siedzącymi dla widzów lub bez, tj.:
  •    stadiony do gry w piłkę nożną,
  •    stadiony do gry w krykieta, rugby,
  •    tory wyścigowe dla samochodów, psów, koni,
  •    baseny,
  •    stadiony lekkoatletyczne,
  •    hale i stadiony przeznaczone dla sportów zimowych, włączając hale do gry w hokeja,
  •    hale bokserskie,
  •    pola golfowe,
  •    tory do gry w kręgle,
  •    pozostałe obiekty sportowe
-    organizowanie i przeprowadzanie imprez sportowych dla sportowców zawodowych lub amatorów z wykorzystaniem własnych, otwartych lub zamkniętych obiektów sportowych,","klasa ta obejmuje także zarządzanie i zapewnienie pracowników do obsługi tych obiektów.","Klasa ta nie obejmuje:
-    obsługi wyciągów narciarskich, sklasyfikowanej w 49.39,
-    wypożyczania sprzętu rekreacyjnego i sportowego, sklasyfikowanego w 77.21,
-    działalności obiektów służących poprawie kondycji fizycznej, sklasyfikowanej w 93.13,
-    działalności związanej z prowadzeniem parków i plaż, sklasyfikowanej w 93.29.","","9311","This class includes:
- operation of facilities for indoor or outdoor sports events (open, closed or covered, with or without spectator seating):
  • football, hockey, cricket, rugby stadiums
  • racetracks for car, dog, horse races
  • swimming pools and stadiums
  • track and field stadiums
  • winter sports arenas and stadiums
  • ice-hockey arenas
  • boxing arenas
  • golf courses
  • bowling lanes
- organisation and operation of outdoor or indoor sports events for professionals or amateurs by organisations with own facilities","This class includes managing and providing the staff to operate these facilities.","This class excludes:
- operation of ski lifts, see 49.39
- rental of recreation and sports equipment, see 77.21
- activities of fitness facilities, see 93.13
- park and beach activities, see 93.29"
"4","93.12","Działalność klubów sportowych","Klasa obejmuje działalność klubów sportowych zawodowych lub amatorskich, takich jak:
-    kluby piłkarskie,
-    kluby pływackie,
-    kluby bokserskie,
-    kluby lekkoatletyczne,
-    kluby strzeleckie,
-    kluby sportów zimowych,
-    kluby golfowe,
-    kluby kręglarskie,
-    kluby szachowe itd.","","Klasa ta nie obejmuje:
-    działalności indywidualnych nauczycieli, trenerów, sklasyfikowanej w 85.51,
-    działalności obiektów sportowych, sklasyfikowanej w 93.11,
-    organizowania i przeprowadzania imprez sportowych dla sportowców zawodowych lub amatorów we własnych, otwartych lub zamkniętych obiektach sportowych, sklasyfikowanego w 93.11.","","9312","This class includes the activities of sports clubs, which, whether professional, semi-professional or amateur clubs, give their members the opportunity to engage in sporting activities.

This class includes:
- operation of sports clubs:
  • football clubs
  • bowling clubs
  • swimming clubs
  • golf clubs
  • boxing clubs
  • winter sports clubs
  • chess clubs
  • track and field clubs
  • shooting clubs, etc.","","This class excludes:
- sports instruction by individual teachers, trainers, see 85.51
- operation of sports facilities, see 93.11
- organisation and operation of outdoor or indoor sports events for professionals or amateurs by sports clubs with their own facilities, see 93.11"
"4","93.13","Działalność obiektów służących poprawie kondycji fizycznej","Klasa ta obejmuje:
-    działalność centrów i klubów fitness oraz innych obiektów służących poprawie kondycji fizycznej i kulturystyce.","","Klasa ta nie obejmuje:
-    działalności indywidualnych nauczycieli, trenerów, sklasyfikowanej w 85.51.","","9311","This class includes:
- fitness and body-building clubs and facilities","","This class excludes:
- sports instruction by individual teachers, trainers, see 85.51"
"4","93.19","Działalność związana ze sportem, pozostała","Klasa ta obejmuje:
-    działalność producentów i sponsorów wydarzeń sportowych, w obiektach lub poza nimi,
-    działalność indywidualnych sportowców, sędziów, chronometrażystów itd.,
-    działalność związaną z organizacją lig sportowych,
-    działalność związaną z promocją imprez sportowych,
-    działalność przewodników górskich.
-    działalność stajni wyścigowych, ośrodków hodowli i tresury psów wyścigowych,
-    działalność wspomagającą łowiectwo i wędkarstwo sportowe lub rekreacyjne.","","Klasa ta nie obejmuje:
-    wypożyczania sprzętu sportowego, sklasyfikowanego w 77.21,
-    działalności szkół sportowych, sklasyfikowanej w 85.51,
-    działalności instruktorów, nauczycieli i trenerów sportowych, sklasyfikowanej w 85.51,
-    organizowania i przeprowadzania imprez sportowych dla sportowców zawodowych lub amatorów z wykorzystaniem własnych lub nie, obiektów sportowych, sklasyfikowanego w 93.11, 93.12
-    działalności związanej z prowadzeniem parków rekreacyjnych i plaż, sklasyfikowanej w 93.29.","","9319","This class includes:
- activities of producers or promoters of sports events, with or without facilities
- activities of individual own-account sportsmen and athletes, referees, judges, timekeepers etc.
- activities of sports leagues and regulating bodies
- activities related to promotion of sporting events
- activities of racing stables, kennels and garages
- operation of sport fishing and hunting preserves
- activities of mountain guides
- support activities for sport or recreational hunting and fishing","","This class excludes:
- rental of sports equipment, see 77.21
- activities of sport and game schools, see 85.51
- activities of sports instructors, teachers, coaches, see 85.51
- organisation and operation of outdoor or indoor sports events for professionals or amateurs by sports clubs with/without own facilities, see 93.11, 93.12
- park and beach activities, see 93.29"
"3","93.2","Działalność rozrywkowa i rekreacyjna","Grupa ta obejmuje jednostki, które prowadzą obiekty lub świadczą usługi w zakresie zaspokajania potrzeb rekreacyjnych swoich klientów. Obejmuje ona organizowanie różnych atrakcji rozrywkowych i rekreacyjnych, takich jak: zjazdy wodne, gry, pokazy, wystawy tematyczne i imprezy plenerowe, włączając festyny i inne imprezy rekreacyjne.","","Grupa ta nie obejmuje:
-    działalności sportowej oraz działalności związanej z wystawianiem sztuk dramatycznych, musicali oraz pozostałej działalności artystycznej.","","932","This group includes a wide range of units that operate facilities or provide services to meet the varied recreational interests of their patrons. It includes the operation of a variety of attractions, such as mechanical rides, water rides, games, shows, theme exhibits and picnic grounds.","","This group excludes sports activities and dramatic arts, music and other arts and entertainment."
"4","93.21","Działalność wesołych miasteczek i parków rozrywki","Klasa ta obejmuje:
-    działalność wesołych miasteczek i parków rozrywki,
-    organizowanie różnych atrakcji rozrywkowych i rekreacyjnych, takich jak: zjazdy wodne, gry, pokazy, wystawy tematyczne i imprezy plenerowe.","","","","9321","This class includes activities of amusement parks or theme parks. It includes the operation of a variety of attractions, such as mechanical rides, water rides, games, shows, theme exhibits and picnic grounds.","",""
"4","93.29","Pozostała działalność rozrywkowa i rekreacyjna","Klasa ta obejmuje pozostałą działalność rozrywkową i rekreacyjną, gdzie indziej niesklasyfikowaną (z wyłączeniem działalności wesołych miasteczek i parków rozrywki), taką jak:
-    eksploatacja automatów do gier zręcznościowych, nawet na monety,
-    działalność parków rekreacyjnych (bez zakwaterowania),
-    transport rekreacyjny, np. działalność przystani jachtowych,
-    obsługa stoków narciarskich,
-    wypożyczanie sprzętu rekreacyjnego stanowiącego integralną część obiektu rekreacyjnego,
-    działalność jarmarków i widowisk o charakterze rekreacyjnym
-    działalność plaż, włączając wynajmowanie przebieralni, szafek na ubrania, wypożyczanie leżaków, itd.
-    działalność miejsc do tańczenia (np. dyskoteki, sale taneczne).","Klasa ta obejmuje także :
- działalność producentów i sponsorów przedstawień na żywo, innych niż artystyczne lub sportowe, w obiektach lub poza nimi.","Klasa ta nie obejmuje:
-    działalności związanej z funkcjonowaniem kolejek linowych naziemnych i nadziemnych oraz wyciągów narciarskich, sklasyfikowanej w 49.39,
-    rejsów wycieczkowych wędkarskich, sklasyfikowanych w 50.10, 50.30,
-    wynajmowania miejsc i obiektów krótkotrwałego zakwaterowania dla gości odwiedzających lasy i parki rekreacyjne oraz wynajmowania pól namiotowych, sklasyfikowanego w 55.30,
-    działalności kempingów, obozowisk, kempingów łowieckich i wędkarskich, sklasyfikowanej w 55.30,
-    serwowania napojów przez dyskoteki, sklasyfikowanego w 56.30,
-    działalności grup teatralnych i cyrkowych, sklasyfikowanej w 90.01.","","9329","This class includes activities related to entertainment and recreation (except amusement parks and theme parks) not elsewhere classified:
- operation (exploitation) of coin-operated games
- activities of recreation parks (without accommodation)
- operation of recreational transport facilities, e.g. marinas
- operation of ski hills
- rental of leisure and pleasure equipment as an integral part of recreational facilities
- fairs and shows of a recreational nature
- activities of beaches, including rental of facilities such as bathhouses, lockers, chairs etc.
- operation of dance floors","This class also includes activities of producers or entrepreneurs of live events other than arts or sports events, with or without facilities.","This class excludes:
- operation of teleferics, funiculars, ski and cable lifts, see 49.39
- fishing cruises, see 50.10, 50.30
- provision of space and facilities for short stay by visitors in recreational parks and forests and campgrounds, see 55.30
- trailer parks, recreational camps, hunting and fishing camps, campsites and campgrounds, see 55.30
- discotheques, see 56.30
- theatrical and circus groups, see 90.01"
"1","S","POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA","Sekcja ta obejmuje:
-    działalność organizacji członkowskich,
-    naprawę komputerów i artykułów użytku osobistego i domowego
-    działalność usługową pozostałą, gdzie indziej niesklasyfikowaną.","","","","S","This section (as a residual category) includes the activities of membership organisations, the repair of computers and personal and household goods and a variety of personal service activities not covered elsewhere in the classification.","",""
"2","94","Działalność organizacji członkowskich","Dział ten obejmuje:
-    działalność organizacji, których członkowie reprezentują interesy pewnych grup społecznych lub promują różne idee wśród ogółu społeczeństwa. Działalność tych organizacji może przynosić korzyści również osobom, które nie są ich członkami.

Podział tego działu określony jest przez cele, którym działalność tych organizacji ma służyć, to jest: interesom pracodawców, osobom pracującym na własny rachunek oraz środowiskom naukowym (odpowiednie klasy grupy 94.1), interesom pracowników (odpowiednie klasy grupy 94.2) oraz propagowaniu działalności religijnej, politycznej, kulturalnej, edukacyjnej lub rekreacyjnej (odpowiednie klasy grupy 94.9).","","","","94","This division includes activities of organisations representing interests of special groups or promoting ideas to the general public. These organisations usually have a constituency of members, but their activities may involve and benefit non-members as well. The primary breakdown of this division is determined by the purpose that these organisations serve, namely interests of employers, self-employed individuals and the scientific community (group 94.1), interests of employees (group 94.2) or promotion of religious, political, cultural, educational or recreational ideas and activities (group 94.9).","",""
"3","94.1","Działalność organizacji komercyjnych, pracodawców oraz organizacji profesjonalnych","Grupa ta obejmuje działalność jednostek, które promują  interesy członków organizacji komercyjnych i pracodawców.","W przypadku profesjonalnych organizacji członkowskich, grupa obejmuje także  działalność w zakresie promowania zawodowych interesów członków danego zawodu.","","","941","This group includes the activities of units that promote the interests of the members of business and employers organisations.","In the case of professional membership organisations, it also includes the activities of promoting the professional interests of members of the profession.",""
