"Level","Code","Description","Rulings","Reference to ISIC Rev. 4","This item includes","This item also includes","This item excludes"
"1","A","ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ","Tato sekce zahrnuje činnosti spojené s využíváním rostlinných a živočišných přírodních zdrojů. Patří sem činnosti jako pěstování zemědělských plodin, chov hospodářských zvířat, těžba dřeva a výroba jiných rostlinných a živočišných produktů v zemědělských podnicích nebo jejich získávání z volné přírody.","","","","A","This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.","",""
"4","85.42","Terciární vzdělávání","Z:
- první (bakalářský), druhý (magisterský) a třetí (doktorský) stupeň terciárního vzdělávání","ZT:
- umělecké školy poskytující terciární vzdělávání","","","8530","This class includes:
- first, second and third stages of tertiary education","This class also includes:
- performing arts schools providing tertiary education",""
"3","85.5","Ostatní vzdělávání","Tato skupina zahrnuje další všeobecné a odborné vzdělávání a školení pro všechny profese a výuku, určenou zejména k uspokojení zájmů, naplnění volného času nebo rozvoje vlastní osobnosti.

Nepatří sem vzdělávací činnosti popsané ve skupinách 85.1 – 85.4 (předškolní, primární, sekundární a postsekundární vzdělávání). Patří sem tábory a školy, které skupinám nebo jednotlivcům poskytují výuku ve sportovních aktivitách, výuku cizích jazyků, uměleckou, hereckou, hudební nebo jinou výuku nebo jiné specializované kurzy a školení, které je nesrovnatelné se vzděláváním ve skupinách 85.1 – 85.4.","","","","854","This group includes general continuing education and continuing vocational education and training for any profession, hobby or self-development purposes.

It includes camps and schools offering instruction in athletic activities to groups or individuals, foreign language instruction, instruction in the arts, drama or music or other instruction or specialised training, not comparable to the education in groups 85.1 - 85.4.","","It excludes educational activities as outlined in groups 85.1-85.4, i.e. pre-primary education, primary education, secondary education or higher education."
"4","85.51","Sportovní a rekreační vzdělávání","Tato třída zahrnuje poskytování výuky ve sportovních aktivitách skupinám nebo jednotlivcům, například v táborech nebo prostřednictvím škol. Patří sem sportovní tábory s přenocováním i bez přenocování. Nepatří sem všeobecně vzdělávací školy, střední ani vysoké školy. Výuku lze provádět v nejrůznějších školicích zařízeních - ve svých prostorách, v prostorách klienta, ve vzdělávacích střediscích nebo v jiných prostorách. Výuka zařazená do této třídy je formálně organizovaná.

Z:
- sportovní výuku (baseball, basketbal, kriket, fotbal atd.)
- sportovní tábory
- výuku a kurzy gymnastiky
- výuku jezdectví v jezdeckých akademiích nebo školách
- výuku plavání
- výuku bojových sportů
- výuku karetních her (např. bridže)
- výuku jógy
- činnosti profesionálních sportovních instruktorů, cvičitelů, trenérů a koučů","","N:
- umělecké vzdělávání (85.52)","","8541","This class includes the provision of instruction in athletic activities to groups of individuals, such as by camps and schools. Overnight and day sports instruction camps are also included. It does not include academic schools, colleges and universities. Instruction may be provided in diverse settings, such as the unit's or client's training facilities, educational institutions or by other means. Instruction provided in this class is formally organised.

This class includes:
- sports instruction (baseball, basketball, cricket, football, etc)
- camps, sports instruction
- gymnastics instruction
- riding instruction, academies or schools
- swimming instruction
- professional sports instructors, teachers, coaches
- martial arts instruction
- card game instruction (such as bridge)
- yoga instruction","","This class excludes:
- cultural education, see 85.52"
"4","85.52","Umělecké vzdělávání","Tato třída zahrnuje poskytování výuky v oblasti výtvarného, dramatického a hudebního umění. Jednotky, které tento druh výuky poskytují, mohou být označovány jako „školy“, „studia“, „kurzy“ atd. Poskytují formálně organizovanou výuku, určenou zejména k uspokojení zájmů, naplnění volného času nebo rozvoje vlastní osobnosti, avšak taková výuka nevede k profesionálnímu zakončení, maturitě nebo absolutoriu vysoké školy.

Z:
- činnosti učitelů hry na klavír a jinou hudební výuku
- uměleckou výuku
- výuku tance a taneční studia, školy
- dramatické školy (kromě vysokých)
- umělecké a uměleckoprůmyslové školy (kromě vysokých)
- herecké školy (kromě vysokých)
- fotografické školy (kromě komerčních)","","N:
- vysoké umělecké školy (85.42)
- výuku cizích jazyků (85.59)","","8542","This class includes provision of instruction in the arts, drama and music. Units giving this type of instructions might be named ""schools”, ""studios”, ""classes” etc. They provide formally organised instruction, mainly for hobby, recreational or self-development purposes, but such instruction does not lead to a professional diploma, baccalaureate or graduate degree.

This class includes:
- piano teachers and other music instruction
- art instruction
- dance instruction and dance studios
- drama schools (except academic)
- fine arts schools (except academic)
- performing arts schools (except academic)
- photography schools (except commercial)","","This class excludes:
- foreign language instruction, see 85.59"
"4","85.53","Činnosti autoškol","","ZT:
- letecké školy, školy plachtění a lodní školy, které nevydávají žádné komerční certifikáty ani povolení","N:
- autoškoly pro řidiče z povolání (85.32)","","8549","","This class also includes:
- flying, sailing, shipping schools not issuing commercial certificates and permits","This class excludes:
- driving schools for occupational drivers, see 85.32"
"4","85.59","Ostatní vzdělávání j. n.","Z:
- vzdělávání, které není definovatelné úrovní
- školní doučování
- vzdělávací střediska, která nabízejí doplňkové kurzy
- přípravné kurzy ke zkouškám
- jazykové a konverzační kurzy
- počítačové kurzy
- výuka náboženství","ZT:
- výcvik plavčíků
- školení v oblasti ochrany zdraví a záchrany života
- kurzy rétoriky
- kurzy rychlého čtení","N:
- alfabetizační programy pro dospělé (85.20)
- sekundární všeobecné vzdělávání (85.31)
- sekundární odborné vzdělávání (85.32)
- postsekundární vzdělávání (85.4)","","8549","This class includes:
- education that is not definable by level
- academic tutoring
- learning centres offering remedial courses
- professional examination review courses
- language instruction and conversational skills instruction
- computer training
- religious instruction","This class also includes:
- lifeguard training
- survival training
- public speaking training
- speed reading instruction","This class excludes:
- adult literacy programmes see 85.20
- general secondary education, see 85.31
- technical and vocational secondary education, see 85.32
- higher education, see 85.4"
"3","85.6","Podpůrné činnosti ve vzdělávání","","","","","855","","",""
"4","85.60","Podpůrné činnosti ve vzdělávání","Z:
- zajišťování podpůrných činností pro vzdělávací procesy nebo vzdělávací systémy:
• poradenství v oblasti vzdělávání
• poradenské činnosti pro orientaci ve vzdělávání
• činnosti související s testováním znalostí
• činnosti související s vyhodnocováním testů
- organizování studentských výměnných programů","","N:
- výzkum a experimentální vývoj v oblasti společenských a humanitních věd (72.20)","Driving tests

Problem statement: Where is the ""driving test activity"" classified?

Solution: The ""driving test activity"" is classified to NACE Rev. 2 class 85.60 (educational support activities).

Decision date: 01.07.2007","8550","This class includes:
- provision of non-instructional activities that support educational processes or systems:
  • educational consulting
  • educational guidance counselling activities
  • educational testing evaluation activities
  • educational testing activities
  • organisation of student exchange programmes","","This class excludes:
- research and experimental development on social sciences and humanities, see 72.20"
"1","Q","ZDRAVOTNÍ A SOCIÁLNÍ PÉČE","Tato sekce zahrnuje poskytování služeb zdravotní a sociální péče. Tyto činnosti sahají od lékařské péče v nemocnicích a jiných zařízeních přes ústavní péči s určitým podílem lékařské péče až po činnosti sociální péče bez lékařské péče.","","","","Q","This section includes the provision of health and social work activities. Activities include a wide range of activities, starting from health care provided by trained medical professionals in hospitals and other facilities, over residential care activities that still involve a degree of health care activities to social work activities without any involvement of health care professionals.","",""
"2","86","Zdravotní péče","Tento oddíl zahrnuje akutní nebo dlouhodobou zdravotní péči poskytovanou nemocnicemi, a to jak všeobecnými tak specializovanými chirurgickými a psychiatrickými klinikami a odděleními nemocnic, léčebnami pro osoby závislé na návykových látkách, sanatorii, zařízeními preventivní medicíny, léčebnými a pečovatelskými ústavy, rehabilitačními středisky, nemocnicemi pro léčbu lepry a ostatními zdravotnickými zařízeními, která disponují ubytovacími možnostmi a která poskytují širokou paletu lékařské péče, ať už se jedná o diagnostiku, ošetření nebo léčbu.","Tento oddíl dále zahrnuje konzultační a léčebné činnosti praktických lékařů, specializovaných lékařů a chirurgů. Patří sem také všeobecná a speciální zubní péče a čelistní ortopedie. Tento oddíl kromě toho zahrnuje všechny činnosti humánní medicíny, které nejsou vykonávány v nemocnicích nebo lékaři, ale příslušníky středního zdravotnického personálu, kteří mají právní kvalifikaci k ošetřování pacientů.","","","86","This division includes activities of short- or long-term hospitals, general or specialty medical, surgical, psychiatric and substance abuse hospitals, sanatoria, preventoria, medical nursing homes, asylums, mental hospital institutions, rehabilitation centres, leprosaria and other human health institutions which have accommodation facilities and which engage in providing diagnostic and medical treatment to inpatients with any of a wide variety of medical conditions.","It also includes medical consultation and treatment in the field of general and specialised medicine by general practitioners and medical specialists and surgeons. It includes dental practice activities of a general or specialised nature and orthodontic activities. Additionally, this division includes activities for human health not performed by hospitals or by practicing medical doctors but by paramedical practitioners legally recognised to treat patients.",""
"3","86.1","Ústavní zdravotní péče","","","","","861","","",""
"4","86.10","Ústavní zdravotní péče","Z:
- akutní nebo dlouhodobou zdravotní péči, to znamená lékařskou péči jako je diagnostika, ošetření a léčba, ve všeobecných nemocnicích (např. v městských, krajských, fakultních, vojenských a vězeňských nemocnicích) a ve specializovaných nemocnicích (např. v nemocnicích pro osoby závislé na návykových látkách nebo pro osoby s chronickým duševním onemocněním, na odděleních infekčních nemocí, v porodnicích, ve specializovaných sanatoriích); zdravotní péče je poskytována hospitalizovaným nemocným a je přímo kontrolována lékaři medicíny:
• činnosti lékařů a středního zdravotnického personálu
• laboratorní a technické služby včetně činnosti radiologických a anestetických oddělení
• činnost lékařských pohotovostí
• činnosti na operačních sálech, nemocničních lékáren, přípravu jídla a ostatní nemocniční služby
• služby středisek plánovaného rodičovství, která poskytují lékařskou péči jako je sterilizace a přerušení těhotenství, s ubytováním","","N:
- laboratorní testy a vyšetření všech druhů materiálů a výrobků, s výjimkou lékařských testů a vyšetření (71.20)
- veterinární činnosti (75.00)
- lékařskou péči příslušníků ozbrojených sil v terénu (84.22)
- činnosti zubních ordinací obecné nebo speciální povahy (např. všeobecné zubní lékařství, endodontická a pediatrická stomatologie, orální patologie); čelistní ortopedii (86.23)
- konzultace soukromých lékařů u hospitalizovaných pacientů (86.2)
- lékařská laboratorní vyšetření (86.90)
- činnosti záchranných služeb a dopravu nemocných (86.90)","","8610","This class includes:
- short- or long-term hospital activities, i.e. medical, diagnostic and treatment activities, of general hospitals (e.g. community and regional hospitals, hospitals of non-profit organisations, university hospitals, military-base and prison hospitals) and specialised hospitals (e.g. mental health and substance abuse hospitals, hospitals for infectious diseases, maternity hospitals, specialised sanatoriums).

The activities are chiefly directed to inpatients, are carried out under the direct supervision of medical doctors and include:
  • services of medical and paramedical staff
  • services of laboratory and technical facilities, including radiologic and anaesthesiologic services
  • emergency room services
  • provision of operating room services, pharmacy services, food and other hospital services
  • services of family planning centres providing medical treatment such as sterilisation and termination of pregnancy, with accommodation","","This class excludes:
- laboratory testing and inspection of all types of materials and products, except medical, see 71.20
- veterinary activities, see 75.00
- health activities for military personnel in the field, see 84.22
- dental practice activities of a general or specialised nature, e.g. dentistry, endodontic and pediatric dentistry; oral pathology, orthodontic activities, see 86.23
- private consultants' services to inpatients, see 86.2
- medical laboratory testing, see 86.90
- ambulance transport activities, see 86.90"
"3","86.2","Ambulantní a zubní zdravotní péče","Tato skupina zahrnuje konzultace a ošetření všeobecnými (praktickými) a specializovanými lékaři včetně chirurgů, zubních lékařů atd. Tyto činnosti jsou vykonávány buď v soukromých praxích jednotlivců i skupin, nebo v ambulantních odděleních nemocnic a lékařských centrech, které jsou součástí podniků, škol, domovů pro seniory, odborů a dobročinných spolků.","Tato skupina zahrnuje také:
- konzultace soukromých lékařů u hospitalizovaných pacientů","","","862","This group includes medical consultation and treatment done by general medical practitioners and medical specialists, including surgeons, dentists etc.

These activities can be carried out in private practice, group practices and in hospital outpatient clinics, and in clinics such as those attached to firms, schools, homes for the aged, labour organisations and fraternal organisations, as well as in patients' homes.","This group also includes:
- private consultants' services to inpatients",""
"4","86.21","Všeobecná ambulantní zdravotní péče","Z:
- všeobecné lékařské konzultace a ošetření všeobecnými (praktickými) lékaři","","N:
- zdravotní péči poskytovanou hospitalizovaným nemocným (86.10)
- činnosti středního zdravotnického personálu, jako jsou porodní asistentky, zdravotní sestry a fyzioterapeuti (86.90)","","8620","This class includes:
- medical consultation and treatment in the field of general medicine carried out by general practitioners.","","This class excludes:
- inpatient hospital activities, see 86.10
- paramedical activities such as those of midwives, nurses and physiotherapists, see 86.90"
"4","86.22","Specializovaná ambulantní zdravotní péče","Z:
- konzultace a ošetření specializovanými lékaři a chirurgy","ZT:
- služby středisek plánovaného rodičovství, která poskytují lékařskou péči jako je sterilizace a přerušení těhotenství, bez ubytování","N:
- zdravotní péči poskytovanou hospitalizovaným nemocným (86.10)
- činnosti středního zdravotnického personálu, jako jsou porodní asistentky, zdravotní sestry a fyzioterapeuti (86.90)","","8620","This class includes:
- medical consultation and treatment in the field of specialised medicine by medical specialists and surgeons","This class also includes:
- family planning centres providing medical treatment such as sterilisation and termination of pregnancy, without accommodation","This class excludes:
- inpatient hospital activities, see 86.10
- activities of midwives, physiotherapists and other paramedical practitioners, see 86.90"
"4","86.23","Zubní péče","Z:
- činnosti zubních ordinací obecné nebo speciální povahy, např. všeobecného zubního lékařství, endodontické a pediatrické stomatologie; orální patologii
- čelistní ortopedii","ZT:
- čelistní chirurgii","N:
- výrobu zubních náhrad v zubních laboratořích (32.50)
- zdravotní péči poskytovanou hospitalizovaným nemocným (86.10)
- činnosti středního stomatologického personálu např. ústních hygieniků (86.90)","","8620","This class includes:
- dental practice activities of a general or specialised nature, e.g. dentistry, endodontic and pediatric dentistry; oral pathology
- orthodontic activities","This class also includes:
- dental activities in operating rooms","This class excludes:
- production of artificial teeth, denture and prosthetic appliances by dental laboratories, see 32.50
- inpatient hospital activities, see 86.10
- activities of dental paramedical personnel such as dental hygienists, see 86.90"
"3","86.9","Ostatní činnosti související se zdravotní péčí","","","","","869","","",""
"4","86.90","Ostatní činnosti související se zdravotní péčí","Z:
- činnosti humánního lékařství, které nejsou vykonávány v nemocnicích nebo lékaři či zubními lékaři:
• činnosti zdravotních sester, porodních asistentek, fyzioterapeutů a jiného středního zdravotnického personálu (např. v oblasti optometrie, hydroterapie, zdravotních masáží, rehabilitačního lékařství, logopedie, medicinální pedikúry, homeopatie, chiropraxe, akupunktury)
Tyto činnosti jsou vykonávány ve zdravotnických střediscích, která jsou součástí podniků, škol, domovů pro seniory, odborů a dobročinných spolků, v jiných zdravotnických zařízeních s ubytováním (kromě nemocnic), ve vlastních místnostech doma u pacienta nebo jinde.","ZT:
- činnosti stomatologického středního personálu jako zubních terapeutů, asistentek zubních lékařů, které působí ve školách, a ústních hygieniků, kteří mohou pracovat mimo praxe zubních lékařů, ale jsou pod pravidelnou kontrolou zubních lékařů
- činnosti lékařských laboratoří:
• rentgenových laboratoří a jiných středisek diagnostického snímkování
• laboratoří pro rozbor krve
- činnosti krevních a spermiových bank a bank orgánů atd.
- záchrannou službu a dopravu pacientů sanitními vozy (včetně letadel, vrtulníků apod.); tyto služby jsou často poskytovány v rámci lékařské záchranné služby","N:
- výrobu zubních náhrad v zubních laboratořích (32.50)
- dopravu pacientů bez záchranného vybavení a bez lékařského personálu (oddíly 49, 50 a 51)
- nelékařská laboratorní vyšetření (71.20)
- testování v oblasti hygieny potravin (71.20)
- činnosti nemocnic (86.10)
- praxe lékařů a zubních lékařů (86.2)
- činnosti ošetřovatelských ústavů (87.10)","","8690","This class includes:
- activities for human health not performed by hospitals or by medical doctors or dentists:
  • activities of nurses, midwives, physiotherapists or other paramedical practitioners in the field of optometry, hydrotherapy, medical massage, occupational therapy, speech therapy, chiropody, homeopathy, chiropractic, acupuncture etc.

These activities may be carried out in health clinics such as those attached to firms, schools, homes for the aged, labour organisations and fraternal organisations and in residential health facilities other than hospitals, as well as in own consulting rooms, patients' homes or elsewhere.","This class also includes:
- activities of dental paramedical personnel such as dental therapists, school dental nurses and dental hygienists, who may work remote from, but are periodically supervised by, the dentist
- activities of medical laboratories such as:
  • X-ray laboratories and other diagnostic imaging centres
  • blood analysis laboratories
- activities of blood banks, sperm banks, transplant organ banks etc.
- ambulance transport of patients by any mode of transport including airplanes. These services are often provided during a medical emergency.","This class excludes:
- production of artificial teeth, denture and prosthetic appliances by dental laboratories, see 32.50
- transfer of patients, with neither equipment for lifesaving nor medical personnel, see divisions 49, 50, 51
- non-medical laboratory testing, see 71.20
- testing activities in the field of food hygiene, see 71.20
- hospital activities, see 86.10
- medical and dental practice activities, see 86.2
- residential nursing care facilities, see 87.10"
"2","87","Ústavní sociální péče","Tento oddíl zahrnuje činnosti sociálních zařízení poskytujících klientům ubytování. Dále mohou nabízet ošetřovatelskou péči, dohled nebo jiné sociální služby. Samotná zařízení jsou nedílnou součástí těchto služeb a péče, kterou mohou poskytovat, je často kombinací zdravotnické a sociální. Pod zdravotnickou péčí se rozumí především ošetřovatelství.","","","","87","This division includes the provision of residential care combined with either nursing, supervisory or other types of care as required by the residents. Facilities are a significant part of the production process and the care provided is a mix of health and social services with the health services being largely some level of nursing services.","",""
"3","87.1","Ústavní ošetřovatelská péče","","","","","871","","",""
"4","87.10","Ústavní ošetřovatelská péče","Z:
- činnosti:
• ústavů pro seniory s ošetřovatelskou službou
• sanatorií
• zotavoven s ošetřovatelskou službou
• ošetřovatelských ústavů","","N:
- domácí péči poskytovanou odbornými zdravotnickými pracovníky (oddíl 86)
- činnosti domovů pro seniory bez nebo jen s minimálními ošetřovatelskými službami (87.30)
- sociální péči s ubytováním dětských domovů, útulků pro bezdomovce apod. (87.90)","","8710","This class includes:
- activities of:
  • homes for the elderly with nursing care
  • convalescent homes
  • rest homes with nursing care
  • nursing care facilities
  • nursing homes","","This class excludes:
- in-home services provided by health care professionals, see division 86
- activities of the homes for the elderly without or with minimal nursing care, see 87.30
- social work activities with accommodation, such as orphanages, children's boarding homes and hostels, temporary homeless shelters, see 87.90"
"3","87.2","Ústavní sociální péče o mentálně postižené a osoby závislé na návykových látkách","","","","","872","","",""
"4","87.20","Ústavní sociální péče o mentálně postižené a osoby závislé na návykových látkách","Tato třída zahrnuje činnosti zařízení pro osoby s opožděným duševním vývojem, duševně choré nebo závislé na návykových látkách. Tato zařízení poskytují ubytování a stravování, ochranný dohled, poradenství a určitou míru lékařské péče, nejedná se však o nemocniční péči.

Z:
- činnosti:
• zařízení pro léčbu alkoholové a drogové závislosti
• psychiatrických sanatorií
• zařízení chráněného bydlení pro psychicky labilní osoby
• zařízení pro mentálně zaostalé osoby
• domy na půl cesty pro osoby s duševním onemocněním a osoby závislé na návykových látkách","","N:
- činnosti psychiatrických oddělení nemocnic a psychiatrických klinik (86.10)
- činnosti zařízení sociální péče s ubytováním jako jsou např. útulky pro bezdomovce (87.90)","","8720","This class includes the provision of residential care (but not licensed hospital care) to people with mental retardation, mental illness, or substance abuse problems. Facilities provide room, board, protective supervision and counselling and some health care.

This class includes:
- activities of:
  • facilities for alcoholism or drug addiction treatment
  • psychiatric convalescent homes
  • residential group homes for the emotionally disturbed
  • mental retardation facilities
  • mental health halfway houses","This class also includes:
- provision of residential care and treatment for patients with mental health and substance abuse illnesses","This class excludes:
- mental hospitals, see 86.10
- social work activities with accommodation, such as temporary homeless shelters, see 87.90"
"3","87.3","Ústavní sociální péče o seniory a zdravotně postižené osoby","","","","","873","","",""
"4","87.30","Ústavní sociální péče o seniory a zdravotně postižené osoby","Tato třída zahrnuje činnost domovů pro seniory a osoby se zdravotním postižením, kteří nechtějí žít sami anebo nejsou schopni se o sebe postarat. Poskytovaná péče většinou zahrnuje ubytování, stravování, dohled a pomoc v každodenním životě (např. úklidové služby). Součástí těchto domovů někdy bývají také samostatné ošetřovatelské stanice.

Z:
- činnosti:
• zařízení chráněného bydlení
• středisek pro seniory s trvalými sociálními službami
• domovů pro seniory s minimálními ošetřovatelskými službami
• domovů pro seniory bez ošetřovatelských služeb","","N:
- činnosti ústavů pro seniory s ošetřovatelskými službami (87.10)
- činnosti ústavů, v nichž lékařská péče nebo vzdělávání nestojí v popředí zájmu (87.90)","","8730","This class includes the provision of residential and personal care services for the elderly and disabled who are unable to fully care for themselves and/or who do not desire to live independently. The care typically includes room, board, supervision, and assistance in daily living, such as housekeeping services. In some instances these units provide skilled nursing care for residents in separate on-site facilities.

This class includes:
- activities of:
  • assisted-living facilities
  • continuing care retirement communities
  • homes for the elderly with minimal nursing care
  • rest homes without nursing care","","This class excludes:
- activities of homes for the elderly with nursing care, see 87.10
- social work activities with accommodation where medical treatment or education are not important elements, see 87.90"
"3","87.9","Ostatní ústavní sociální péče","","","","","879","","",""
"4","87.90","Ostatní ústavní sociální péče","Tato třída zahrnuje činnosti zařízení nabízejících ubytování a péči osobám (kromě seniorů a osob se zdravotním postižením), které nechtějí žít samy anebo nejsou schopny se o sebe postarat.

Z:
- celodenní sociální péči o děti a skupiny osob, které nejsou zcela schopny se o sebe postarat, přičemž lékařská péče nebo vzdělávání nestojí v popředí zájmu:
• dětské domovy
• útulky pro bezdomovce
• zařízení, která přijímají svobodné matky a jejich děti
Tyto činnosti mohou vykonávat státní nebo soukromé organizace.","ZT:
činnosti:
- domů na půl cesty pro osoby se sociálními nebo osobními problémy
- domů na půl cesty pro pachatele trestných činů
- nápravných zařízení pro mládež","N:
- financování a správu programů povinného sociálního zabezpečení (84.30)
- činnosti ošetřovatelských ústavů (87.10)
- činnosti domovů pro seniory a zdravotně postižené (87.30)
- činnosti spojené s adopcí (88.99)
- krátkodobé ubytování obětí katastrof (88.99)","","8790","This class includes the provision of residential and personal care services for persons, except the elderly and disabled, who are unable to fully care for themselves or who do not desire to live independently.

This class includes:
- activities provided on a round-the-clock basis directed to provide social assistance to children and special categories of persons with some limits on ability for self-care, but where medical treatment or education are not important elements:
  • orphanages
  • children's boarding homes and hostels
  • temporary homeless shelters
  • institutions that take care of unmarried mothers and their children
The activities may be carried out by government offices or private organisations.","This class also includes:
- activities of:
  • halfway group homes for persons with social or personal problems
  • halfway homes for delinquents and offenders
  • juvenile correction homes","This class excludes:
- funding and administration of compulsory social security programmes, see 84.30
- activities of nursing care facilities, see 87.10
- residential care activities for the elderly or disabled, see 87.30
- adoption activities, see 88.99
- short-term shelter activities for disaster victims, see 88.99"
"2","88","Mimoústavní sociální péče","Tento oddíl zahrnuje celou řadu činností sociálních služeb. Nespadají sem ubytovací služby, s výjimkou přechodného ubytování.","","","","88","This division includes the provision of a variety of social assistance services directly to clients. The activities in this division do not include accommodation services, except on a temporary basis.","",""
"3","88.1","Mimoústavní sociální péče o seniory a zdravotně postižené osoby","","","","","881","","",""
"4","88.10","Mimoústavní sociální péče o seniory a zdravotně postižené osoby","Z:
- sociální, poradenské, pečovatelské, zprostředkovatelské a podobné služby pro seniory a osoby se zdravotním postižením v jejich bytě nebo jinde, které poskytují odborní poradci, státní nebo soukromá zařízení, svépomocné organizace s celostátní nebo lokální působností :
• návštěvní služby pro seniory nebo osoby se zdravotním postižením
• denní péči pro seniory nebo osoby se zdravotním postižením
• profesní rehabilitace a kvalifikační opatření (příprava na zaměstnání) pro osoby se zdravotním postižením, pokud vzdělávací aspekt není v popředí zájmu","","N:
- financování a správu programů povinného sociálního zabezpečení (84.30)
- činnosti podobné činnostem uvedeným v této třídě, ale s ubytováním (87.30)
- denní péče o děti se zdravotním postižením (88.91)","","8810","This class includes:
- social, counselling, welfare, referral and similar services which are aimed at the elderly and disabled in their homes or elsewhere and carried out by government offices or by private organisations, national or local self-help organisations and by specialists providing counselling services:
  • visiting of the elderly and disabled
  • day-care activities for the elderly or for disabled adults
  • vocational rehabilitation and habilitation activities for disabled persons provided that the education component is limited","","This class excludes:
- funding and administration of compulsory social security programmes, see 84.30
- activities similar to those described in this class, but including accommodation, see 87.30
- day-care activities for disabled children, see 88.91"
"3","88.9","Ostatní mimoústavní sociální péče","","","","","889","","",""
"4","88.91","Denní péče o děti","","ZT:
- denní péči o školní děti včetně denní péče o děti se zdravotním postižením","","","8890","","This class also includes:
- activities of day nurseries for pupils, including day-care activities for disabled children",""
"4","88.99","Ostatní mimoústavní sociální péče j. n.","Z:
- sociální, poradenské, pečovatelské, zprostředkovatelské a podobné služby a služby péče o uprchlíky pro jednotlivé osoby i rodiny v jejich bytě nebo jinde, které poskytují odborní poradci, státní nebo soukromá zařízení, organizace pomoci v případě katastrof, svépomocné organizace s celostátní nebo lokální působností
• péči a poradenství pro děti a mládež
• činnosti spojené s adopcí, prevencí týrání dětí atd.
• poradenství pro domácnosti a dlužníky, činnosti manželských a rodinných poradců
• komunitní a sousedskou pomoc
• pomoc obětem katastrof, uprchlíkům, přistěhovalcům atd. včetně přechodného (popř. prodlouženého) ubytování
• profesní rehabilitace a kvalifikační opatření (příprava na zaměstnání) pro nezaměstnané, pokud vzdělávací aspekt není v popředí zájmu
• stanovení oprávněnosti nároků v souvislosti se sociální pomocí, příspěvkem na nájemné nebo stravenkami
• denní útulky pro bezdomovce a jiné sociálně slabé skupiny
• charitativní opatření a sbírání darů nebo jiné pomocné činnosti v sociální oblasti","","N:
- financování a správu programů povinného sociálního zabezpečení (84.30)
- činnosti podobné činnostem uvedeným v této třídě, ale s ubytováním (87.90)","","8890","This class includes:
- social, counselling, welfare, refugee, referral and similar services which are delivered to individuals and families in their homes or elsewhere and carried out by government offices or by private organisations, disaster relief organisations and national or local self-help organisations and by specialists providing counselling services:
  • welfare and guidance activities for children and adolescents
  • adoption activities, activities for the prevention of cruelty to children and others
  • household budget counselling, marriage and family guidance, credit and debt counselling services
  • community and neighbourhood activities
  • activities for disaster victims, refugees, immigrants etc., including temporary or extended shelter for them
  • vocational rehabilitation and habilitation activities for unemployed persons provided that the education component is limited
  • eligibility determination in connection with welfare aid, rent supplements or food stamps
  • day facilities for the homeless and other socially weak groups
  • charitable activities like fund-raising or other supporting activities aimed at social work","","This class excludes:
- funding and administration of compulsory social security programmes, see 84.30
- activities similar to those described in this class, but including accommodation, see 87.90"
"1","R","KULTURNÍ, ZÁBAVNÍ A REKREAČNÍ ČINNOSTI","Tato sekce zahrnuje celou řadu činností, které pokrývají nejrůznější zájmy široké veřejnosti a týkají se kultury, zábavy a volného času; jsou v ní zahrnuta živá vystoupení, provoz muzeí, činnosti heren, sportovní a rekreační činnosti.","","","","R","This section includes a wide range of activities to meet varied cultural, entertainment and recreational interests of the general public, including live performances, operation of museum sites, gambling, sports and recreation activities.","",""
"2","90","Tvůrčí, umělecké a zábavní činnosti","Tento oddíl zahrnuje provozování zařízení a provádění činností za účelem uspokojování kulturních a zábavních potřeb zákazníků. Patří sem produkce, propagace a podílení se na živých vystoupeních, akcích nebo výstavách, poskytování uměleckých, tvůrčích nebo odborných dovedností pro vytváření uměleckých děl a provádění živých vystoupení.","","Tento oddíl nezahrnuje:
- provoz muzeí, botanických a zoologických zahrad, ochranu kulturních památek a historických staveb, činnosti přírodních rezervací a národních parků (oddíl 91)
- činnosti heren, kasin a sázkových kanceláří (oddíl 92)
- sportovní, zábavní a rekreační činnosti (oddíl 93)

Některé jednotky, které poskytují kulturní, zábavní a rekreační zařízení a služby, jsou klasifikovány v jiných oddílech; jedná se například o činnosti:
- výroba a distribuce filmů a videofilmů (59.11 až 59.13)
- promítání filmů (59.14)
- rozhlasové a televizní vysílání (60.1 a 60.2)","","90","This division includes the operation of facilities and provision of services to meet the cultural and entertainment interests of their customers. This includes the production and promotion of, and participation in, live performances, events or exhibits intended for public viewing; the provision of artistic, creative or technical skills for the production of artistic products and live performances.","","This division excludes:
- the operation of museums of all kinds, botanical and zoological gardens; the preservation of historical sites; and nature reserves activities, see division 91
- gambling and betting activities, see division 92
- sports and amusement and recreation activities, see division 93.

Some units that provide cultural, entertainment or recreational facilities and services are classified in other divisions, such as:
- motion picture and video production and distribution, see 59.11, 59.12, 59.13
- motion picture projection, see 59.14
- radio and television broadcasting, see 60.1, 60.2"
"3","90.0","Tvůrčí, umělecké a zábavní činnosti","Tato skupina zahrnuje tvůrčí činnosti, scénická umění a činnosti s tím související.","","","","900","This group includes activities in the creative and performing arts and related activities.","",""
